,0
Code Ocean ,0.0
None,0.0
Noteable Notebooks ,0.4098360655737705
Deepnote Notebooks ,0.4098360655737705
Hex Workspaces,0.819672131147541
IBM Watson Studio ,2.459016393442623
Gradient Notebooks ,3.6885245901639343
Amazon EMR Notebooks ,4.508196721311475
Other,5.737704918032787
Azure Notebooks,6.557377049180328
Google Cloud Vertex AI Workbench ,9.836065573770492
Amazon Sagemaker Studio Lab ,13.524590163934427
Amazon Sagemaker Studio ,20.901639344262296
Databricks Collaborative Notebooks ,22.950819672131146
Kaggle Notebooks,43.442622950819676
Colab Notebooks,54.91803278688525
