,count
No (we do not use ML methods),2.8
I do not know,3.4
We are exploring ML methods (and may one day put a model into production),9.4
"We recently started using ML methods (i.e., models in production for less than 2 years)",21.7
"We have well established ML methods (i.e., models in production for more than 2 years)",47.6
