,0
Jumpstart ,0.28735632183908044
Other storage services (i.e. google drive),1.7241379310344827
ONNX models ,2.0114942528735633
Timm ,2.0114942528735633
NVIDIA NGC models  ,2.2988505747126435
PyTorch Hub ,10.057471264367816
Kaggle datasets ,10.919540229885058
TensorFlow Hub ,15.804597701149426
Huggingface Models ,24.42528735632184
"No, I do not download pre—trained model weights on a regular basis",60.91954022988506
