,count
$0-999,1.2
"10,000-14,999",1.2
"15,000-19,999",0.3
"20,000-24,999",0.3
"25,000-29,999",0.6
"30,000-39,999",0.3
"40,000-49,999",0.6
"50,000-59,999",1.8
"60,000-69,999",1.8
"70,000-79,999",2.4
"80,000-89,999",3.6
"90,000-99,999",3.3
"100,000-124,999",13.6
"125,000-149,999",17.9
"150,000-199,999",26.4
"200,000-249,999",14.8
"250,000-299,999",4.8
"300,000-499,999",3.6
"$500,000-999,999",1.2
