,0
C3.ai,0.0
Rapidminer,0.8368200836820083
Domino Data Lab ,2.092050209205021
Other,2.092050209205021
Dataiku,2.510460251046025
Alteryx,3.3472803347280333
H2O AI Cloud ,3.7656903765690375
DataRobot,4.602510460251046
Google Cloud Vertex AI,8.786610878661088
Azure Machine Learning Studio ,9.205020920502092
Amazon SageMaker ,19.665271966527197
Databricks,20.92050209205021
No / None,47.69874476987448
